                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.56263,                0.51068,                0.98038,                0.75664,                0.76626,                0.81935,                0.48126,                 1.4867,                 1.0796,                  1.884,             0.00091092,             0.00091092,             0.00091092
                    139,                 0.5999,                0.52672,                0.97945,                0.83468,                0.73481,                 0.8221,                0.51586,                  1.451,                 1.0097,                 1.9263,             0.00090845,             0.00090845,             0.00090845
                    140,                 0.5784,                0.53372,                0.97906,                0.80975,                0.70834,                0.81889,                0.50008,                 1.4275,                 1.1337,                 1.8458,             0.00090597,             0.00090597,             0.00090597
                    141,                0.58426,                0.51765,                 0.9913,                0.74654,                0.85485,                0.80568,                0.52149,                 1.3308,                0.87992,                 1.7054,              0.0009035,              0.0009035,              0.0009035
                    142,                0.56998,                0.49619,                0.98501,                0.64284,                0.85552,                0.81923,                0.52732,                 1.2585,                  1.048,                 1.6707,             0.00090103,             0.00090103,             0.00090103
                    143,                0.58537,                 0.5216,                 0.9933,                0.69902,                0.79433,                0.80791,                0.50373,                 1.3434,                 1.0139,                 1.7541,             0.00089855,             0.00089855,             0.00089855
                    144,                 0.5341,                0.49026,                0.97561,                0.70736,                0.85913,                0.80915,                0.49609,                 1.3708,                0.92936,                 1.8605,             0.00089607,             0.00089607,             0.00089607
                    145,                0.55962,                 0.4824,                 0.9649,                0.82386,                0.71597,                 0.7634,                0.47831,                 1.4195,                 1.1329,                 1.8994,              0.0008936,              0.0008936,              0.0008936
                    146,                0.55665,                0.48884,                0.98248,                0.75937,                0.71411,                0.74622,                0.44876,                 1.3257,                 1.0867,                   1.83,             0.00089112,             0.00089112,             0.00089112
                    147,                0.54905,                0.47442,                0.98092,                0.63788,                0.69531,                0.68617,                 0.4369,                 1.2098,                 1.1562,                 1.7177,             0.00088865,             0.00088865,             0.00088865
                    148,                0.54132,                 0.4636,                0.96785,                0.67672,                0.69726,                0.74435,                0.46353,                 1.3226,                 1.1745,                 1.7466,             0.00088618,             0.00088618,             0.00088618
                    149,                0.56096,                0.48431,                0.96327,                0.74846,                 0.6693,                0.77308,                0.48378,                 1.3397,                 1.1518,                  1.799,              0.0008837,              0.0008837,              0.0008837
                    150,                0.57779,                0.51329,                0.99466,                0.68459,                0.77366,                0.78201,                0.52251,                 1.4298,                 1.0495,                 1.9132,             0.00088122,             0.00088122,             0.00088122
                    151,                0.56899,                0.47765,                0.97255,                0.72607,                0.75798,                0.77248,                0.50881,                 1.4652,                 1.0909,                 1.9407,             0.00087875,             0.00087875,             0.00087875
